,,,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counts,,,,,,,,,,,,,,,,,,,
,,,Spleen,,,,,,,Cervical Lymph Node,,,,,,,Inguinal Lymph Node,,,,,,,Blood,,,,,,,Spleen,,,,,Cervical Lymph Node,,,,,Inguinal Lymph Node,,,,,Blood,,,,
Mouse ID,Treatment Group,Treatment,CD3,CD4,CD8, CD4:CD8 ,CD25,FOXP3,Treg,CD3-2,CD4-2,CD8-2, CD4:CD8-2 ,CD25-2,FOXP3-2,Treg-2,CD3-3,CD4-3,CD8-3, CD4:CD8-3 ,CD25-3,FOXP3-3,Treg-3,CD3-4,CD4-4,CD8-4, CD4:CD8-4 ,CD25-4,FOXP3-4,Treg-4,CD45 C1,CD3 C1,CD4 C1,CD8 C1,Treg C1,CD45 C2,CD3 C2,CD4 C2,CD8 C2,Treg C2,CD45 C3,CD3 C3,CD4 C3,CD8 C3,Treg C3,CD45 C4,CD3 C4,CD4 C4,CD8 C4,Treg C4
M=08/03 #13,3,0.5 mg/kg Fingolimod,30.60,47.50,41.30,1.15,15.10,21.40,5.88,32.50,53.60,35.70,1.50,13.10,11.40,8.39,49.40,51.20,44.20,1.16,7.09,9.04,5.73,11.20,51.90,58.20,0.89,6.76,14.90,0.68,"1,577,918","482,843","229,350","199,414","13,486","130,788","42,506","22,783","15,175","1,912","124,132","61,321","31,396","27,104","1,799","20,000","2,240","1,163","1,304",8
M=08/03 #14,2,Saline,35.80,55.10,35.50,1.55,8.46,10.60,3.65,53.20,53.50,39.40,1.36,9.25,9.49,5.26,51.30,49.40,40.20,1.23,7.33,11.70,4.68,10.10,70.70,9.82,7.20,7.74,6.30,1.54,"16,195,179","5,797,874","3,194,629","2,058,245","116,604","180,453","96,001","51,361","37,824","2,702","117,416","60,235","29,756","24,214","1,393","407,297","41,137","29,084","4,040",448
M=08/03 #15,1,1.0 mg/kg Fingolimod,36.80,52.20,36.70,1.42,9.15,21.60,7.91,43.80,52.20,43.30,1.21,14.70,14.90,10.20,43.30,45.10,46.20,0.98,7.65,13.60,6.87,38.00,49.90,31.70,1.57,15.70,36.70,6.06,"8,752,179","3,220,802","1,681,259","1,182,034","132,988","133,881","58,640","30,610","25,391","3,122","156,656","67,832","30,592","31,338","2,102","7,574","2,878","1,436",912,87
M=08/03 #16,3,0.5 mg/kg Fingolimod,22.10,45.10,40.60,1.11,12.60,16.40,4.50,47.40,47.20,39.50,1.19,11.00,12.70,7.56,58.30,38.60,50.70,0.76,7.00,10.30,5.84,41.60,62.40,32.30,1.93,13.60,11.40,2.83,"4,466,262","987,044","445,157","400,740","20,032","179,068","84,878","40,062","33,527","3,029","105,881","61,729","23,827","31,296","1,392","14,094","5,863","3,659","1,894",104
M=08/03 #17,2,Saline,40.20,54.50,38.00,1.43,9.01,14.40,2.21,44.90,43.60,35.10,1.24,8.39,11.00,6.18,68.30,54.50,36.30,1.50,9.76,18.60,4.71,,,,,,,,"11,670,204","4,691,422","2,556,825","1,782,740","56,506","349,031","156,715","68,328","55,007","4,223","182,581","124,703","67,963","45,267","3,201",,,,,
M=08/03 #18,1,1.0 mg/kg Fingolimod,33.60,52.30,40.00,1.31,12.00,26.10,7.56,37.00,44.50,40.70,1.09,9.69,7.80,4.53,48.10,49.10,42.30,1.16,11.40,9.05,3.48,1.77,49.40,30.70,1.61,9.02,20.70,6.01,"4,923,125","1,654,170","865,131","661,668","65,404","399,414","147,783","65,763","60,148","2,979","101,296","48,724","23,923","20,610",833,"366,441","6,486","3,204","1,991",193
M=08/03 #19,3,0.5 mg/kg Fingolimod,40.50,52.90,41.00,1.29,12.90,26.40,6.48,40.00,44.20,40.10,1.10,14.40,10.80,5.87,37.70,51.60,42.60,1.21,13.90,13.10,7.76,19.40,59.50,34.00,1.75,16.50,13.20,4.77,"9,623,274","3,897,426","2,061,738","1,597,945","133,601","403,303","161,321","71,304","64,690","4,186",,,,,,"399,108","77,427","46,069","26,325","2,197"
M=08/03 #20,2,Saline,34.40,60.50,32.20,1.88,15.30,3.99,1.03,48.30,53.10,37.20,1.43,7.80,13.60,5.42,59.60,50.60,40.80,1.24,11.80,14.00,5.90,21.20,62.30,30.00,2.08,6.51,6.67,2.00,"23,408,201","8,052,421","4,871,715","2,592,880","50,179","316,739","152,985","81,235","56,910","4,403","89,428","53,299","26,969","21,746","1,591","190,656","40,419","25,181","12,126",504
