,,,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counts,,,,,,,,,,,,,,,,,,,
,,,Spleen,,,,,,,Cervical Lymph Node,,,,,,,Inguinal Lymph Node,,,,,,,Blood,,,,,,,Spleen,,,,,Cervical Lymph Node,,,,,Inguinal Lymph Node,,,,,Blood,,,,
Mouse ID,Treatment Group,Treatment,CD3,CD4,CD8,CD4:CD8,CD25,FOXP3,Treg,CD3-2,CD4-2,CD8-2,CD4:CD8-2,CD25-2,FOXP3-2,Treg-2,CD3-3,CD4-3,CD8-3,CD4:CD8-3,CD25-3,FOXP3-3,Treg-3,CD3-4,CD4-4,CD8-4,CD4:CD8-4,CD25-4,FOXP3-4,Treg-4,CD45 C1,CD3 C1,CD4 C1,CD8 C1,Treg C1,CD45 C2,CD3 C2,CD4 C2,CD8 C2,Treg C2,CD45 C3,CD3 C3,CD4 C3,CD8 C3,Treg C3,CD45 C4,CD3 C4,CD4 C4,CD8 C4,Treg C4
M=17/04 #01,2,0.5 mg/kg Fingolimod,39.10,56.50,36.70,1.54,11.50,23.10,11.50,31.30,55.60,35.90,1.55,13.50,8.56,5.24,43.10,48.20,45.90,1.05,16.00,17.80,13.00,18.20,55.80,27.90,2.00,6.43,6.85,3.33,"12,180,713","4,762,659","2,690,902","1,747,896","309,454","188,300","58,938","32,769","21,159","1,717","584,376","281,669","135,764","129,286","17,649","59,089","10,754","6,001","3,000",200
M=17/04 #05,2,0.5 mg/kg Fingolimod,34.90,65.20,25.10,2.60,8.04,6.07,6.76,28.70,50.00,41.20,1.21,19.20,12.90,7.08,24.40,48.00,40.80,1.18,18.20,10.40,5.64,10.50,50.00,24.70,2.02,12.90,82.40,11.80,"8,051,612","2,810,013","1,832,128","705,313","123,852","253,313","72,701","36,350","29,953","2,574","861,180","413,366","198,416","168,653","11,191","47,062","4,941","2,471","1,221",292
M=17/04 #06,1,Saline,33.80,62.60,27.10,2.31,7.31,2.83,2.98,36.90,53.50,40.10,1.33,14.30,17.80,8.37,42.50,52.60,39.80,1.32,13.50,19.50,9.54,26.90,71.30,19.40,3.68,3.34,96.00,2.92,"17,002,906","5,746,982","3,597,611","1,557,432","107,209","225,009","83,028","44,420","33,294","3,718","950,389","499,904","262,950","198,962","25,085","201,914","54,315","38,726","10,537","1,131"
M=17/04 #07,2,0.5 mg/kg Fingolimod,38.20,62.90,29.20,2.15,9.18,10.40,7.75,26.30,49.20,40.50,1.21,17.20,14.60,7.44,40.80,44.60,42.90,1.04,20.00,12.20,9.62,13.60,50.50,42.90,1.18,15.70,17.50,11.70,"12,591,838","4,810,082","3,025,542","1,404,544","234,479","206,333","54,266","26,699","21,978","1,986","1,023,225","456,358","203,536","195,778","19,580","73,451","9,989","5,045","4,285",590
M=17/04 #08,1,Saline,35.00,61.10,29.30,2.09,6.65,4.26,3.67,40.60,49.30,42.90,1.15,15.30,10.60,6.91,41.50,48.40,41.80,1.16,16.70,13.30,6.87,10.30,71.90,11.00,6.54,3.88,87.70,2.66,"19,041,799","6,664,630","4,072,089","1,952,736","149,446","269,100","109,255","53,863","46,870","3,722","1,268,558","613,982","297,167","256,644","20,415","153,327","15,793","11,355","1,737",302
M=17/04 #18,1,Saline,38.90,58.40,35.20,1.66,7.76,18.60,5.77,41.00,50.40,41.10,1.23,14.60,11.50,5.99,31.50,53.60,39.60,1.35,17.00,19.50,14.00,44.90,60.10,34.00,1.77,4.12,2.78,1.87,"34,460,337","13,405,071","7,828,562","4,718,585","451,708","48,639","19,942","10,051","8,196",602,"129,584","69,457","37,229","27,505","5,212","139,436","62,607","37,627","21,286",704
M=17/04 #19,2,0.5 mg/kg Fingolimod,37.80,60.60,30.00,2.02,9.04,24.60,9.68,28.20,56.70,34.80,1.63,14.50,16.00,8.50,39.70,51.40,43.90,1.17,15.80,22.20,15.30,13.20,55.00,33.30,1.65,8.03,12.50,7.13,"8,046,461","3,041,562","1,843,187","912,469","178,420","82,050","23,138","13,119","8,052","1,115","841,989","432,782","222,450","189,991","34,035","90,305","11,920","6,556","3,969",467
M=17/04 #20,1,Saline,38.90,58.40,31.20,1.87,7.11,18.90,6.73,38.70,50.00,42.60,1.17,13.30,17.30,10.10,39.50,51.10,42.80,1.19,13.30,17.10,12.40,35.50,62.10,29.60,2.10,4.96,8.64,4.16,"24,982,713","9,718,275","5,675,473","3,032,102","381,959","154,988","59,980","29,990","25,552","3,029","341,617","174,566","89,203","74,714","11,061","177,814","63,124","39,200","18,685","1,631"
